Match ID,Map,Time,Killer X,Killer Y,Victim X,Victim Y
2U4GBNA0YmnLSqvEycnTjo-KT000vfUnhSA2vfVhVPe1QBwCTNTBJ5B_1Ocel6nY,MIRAMAR,1244,526263.6,345763.2,527243.9,346417.4
2U4GBNA0YmnLSqvEycnTjo-KT000vfUnhSA2vfVhVPe1QBwCTNTBJ5B_1Ocel6nY,MIRAMAR,134,725012.6,361189.7,0.0,0.0
2U4GBNA0YmnLSqvEycnTjo-KT000vfUnhSA2vfVhVPe1QBwCTNTBJ5B_1Ocel6nY,MIRAMAR,167,361569.7,419730.0,361278.9,419166.9
2U4GBNA0YmnLSqvEycnTjo-KT000vfUnhSA2vfVhVPe1QBwCTNTBJ5B_1Ocel6nY,MIRAMAR,1944,568047.1,288962.2,567814.8,294379.8
2U4GBNA0YmnLSqvEycnTjo-KT000vfUnhSA2vfVhVPe1QBwCTNTBJ5B_1Ocel6nY,MIRAMAR,1539,559462.1,313402.6,561293.3,306626.6
2U4GBNA0YmnLSqvEycnTjo-KT000vfUnhSA2vfVhVPe1QBwCTNTBJ5B_1Ocel6nY,MIRAMAR,215,90925.14,722112.9,90925.14,722112.9
2U4GBNA0YmnLSqvEycnTjo-KT000vfUnhSA2vfVhVPe1QBwCTNTBJ5B_1Ocel6nY,MIRAMAR,102,366649.1,424968.1,366968.4,425042.9
2U4GBNA0YmnLSqvEycnTjo-KT000vfUnhSA2vfVhVPe1QBwCTNTBJ5B_1Ocel6nY,MIRAMAR,131,376429.3,434734.8,376344.8,434978.8
2U4GBNA0YmnLSqvEycnTjo-KT000vfUnhSA2vfVhVPe1QBwCTNTBJ5B_1Ocel6nY,MIRAMAR,1244,524288.7,346538.5,526412.1,346504.1
2U4GBNA0YmnLSqvEycnTjo-KT000vfUnhSA2vfVhVPe1QBwCTNTBJ5B_1Ocel6nY,MIRAMAR,235,438757.9,280729.9,439254.2,280726.3
2U4GBNA0YmnLSqvEycnTjo-KT000vfUnhSA2vfVhVPe1QBwCTNTBJ5B_1Ocel6nY,MIRAMAR,1010,375099.8,292415.2,375254.8,292389.7
2U4GBNA0YmnLSqvEycnTjo-KT000vfUnhSA2vfVhVPe1QBwCTNTBJ5B_1Ocel6nY,MIRAMAR,126,373104.3,433791.3,373038.9,433880.9
2U4GBNA0YmnLSqvEycnTjo-KT000vfUnhSA2vfVhVPe1QBwCTNTBJ5B_1Ocel6nY,MIRAMAR,170,383953.1,444024.6,383583.5,444753.6
2U4GBNA0YmnLSqvEycnTjo-KT000vfUnhSA2vfVhVPe1QBwCTNTBJ5B_1Ocel6nY,MIRAMAR,552,362688.8,434332.5,362263.2,434470.6
2U4GBNA0YmnLSqvEycnTjo-KT000vfUnhSA2vfVhVPe1QBwCTNTBJ5B_1Ocel6nY,MIRAMAR,125,86343.59,708670.1,86358.76,708756.7
2U4GBNA0YmnLSqvEycnTjo-KT000vfUnhSA2vfVhVPe1QBwCTNTBJ5B_1Ocel6nY,MIRAMAR,1263,498826.8,308124.3,501133.5,308250.4
2U4GBNA0YmnLSqvEycnTjo-KT000vfUnhSA2vfVhVPe1QBwCTNTBJ5B_1Ocel6nY,MIRAMAR,164,372348.2,432944.2,372473.6,433406.3
2U4GBNA0YmnLSqvEycnTjo-KT000vfUnhSA2vfVhVPe1QBwCTNTBJ5B_1Ocel6nY,MIRAMAR,553,362936.8,434318.4,362179.2,436248.2
2U4GBNA0YmnLSqvEycnTjo-KT000vfUnhSA2vfVhVPe1QBwCTNTBJ5B_1Ocel6nY,MIRAMAR,113,369184.6,421062.2,368332.0,421274.5
2U4GBNA0YmnLSqvEycnTjo-KT000vfUnhSA2vfVhVPe1QBwCTNTBJ5B_1Ocel6nY,MIRAMAR,1201,524989.9,346106.9,525671.5,345720.4
2U4GBNA0YmnLSqvEycnTjo-KT000vfUnhSA2vfVhVPe1QBwCTNTBJ5B_1Ocel6nY,MIRAMAR,565,473679.1,353759.8,471807.5,356858.3
2U4GBNA0YmnLSqvEycnTjo-KT000vfUnhSA2vfVhVPe1QBwCTNTBJ5B_1Ocel6nY,MIRAMAR,361,368875.8,417772.6,366831.8,416067.8
2U4GBNA0YmnLSqvEycnTjo-KT000vfUnhSA2vfVhVPe1QBwCTNTBJ5B_1Ocel6nY,MIRAMAR,612,471470.9,354985.2,470767.8,356513.6
2U4GBNA0YmnLSqvEycnTjo-KT000vfUnhSA2vfVhVPe1QBwCTNTBJ5B_1Ocel6nY,MIRAMAR,134,371343.4,424315.8,371384.0,423285.3
2U4GBNA0YmnLSqvEycnTjo-KT000vfUnhSA2vfVhVPe1QBwCTNTBJ5B_1Ocel6nY,MIRAMAR,1646,,,0.0,0.0
2U4GBNA0YmnLSqvEycnTjo-KT000vfUnhSA2vfVhVPe1QBwCTNTBJ5B_1Ocel6nY,MIRAMAR,749,535194.3,365380.0,533893.9,367672.1
2U4GBNA0YmnLSqvEycnTjo-KT000vfUnhSA2vfVhVPe1QBwCTNTBJ5B_1Ocel6nY,MIRAMAR,879,,,0.0,0.0
2U4GBNA0YmnLSqvEycnTjo-KT000vfUnhSA2vfVhVPe1QBwCTNTBJ5B_1Ocel6nY,MIRAMAR,256,367716.3,428741.8,367762.2,428378.7
2U4GBNA0YmnLSqvEycnTjo-KT000vfUnhSA2vfVhVPe1QBwCTNTBJ5B_1Ocel6nY,MIRAMAR,163,369959.9,429490.2,370580.2,433197.6
2U4GBNA0YmnLSqvEycnTjo-KT000vfUnhSA2vfVhVPe1QBwCTNTBJ5B_1Ocel6nY,MIRAMAR,134,371510.2,424321.2,367633.6,424287.7
2U4GBNA0YmnLSqvEycnTjo-KT000vfUnhSA2vfVhVPe1QBwCTNTBJ5B_1Ocel6nY,MIRAMAR,232,432329.8,550157.1,433296.1,550911.6
2U4GBNA0YmnLSqvEycnTjo-KT000vfUnhSA2vfVhVPe1QBwCTNTBJ5B_1Ocel6nY,MIRAMAR,232,433042.9,549550.9,433620.3,549917.4
2U4GBNA0YmnLSqvEycnTjo-KT000vfUnhSA2vfVhVPe1QBwCTNTBJ5B_1Ocel6nY,MIRAMAR,1628,571932.8,299159.9,567754.1,290418.5
2U4GBNA0YmnLSqvEycnTjo-KT000vfUnhSA2vfVhVPe1QBwCTNTBJ5B_1Ocel6nY,MIRAMAR,167,364521.4,424906.5,362560.2,426152.6
2U4GBNA0YmnLSqvEycnTjo-KT000vfUnhSA2vfVhVPe1QBwCTNTBJ5B_1Ocel6nY,MIRAMAR,1201,524538.4,345883.6,525804.8,345527.0
2U4GBNA0YmnLSqvEycnTjo-KT000vfUnhSA2vfVhVPe1QBwCTNTBJ5B_1Ocel6nY,MIRAMAR,1905,566927.6,290606.1,568948.1,293965.7
2U4GBNA0YmnLSqvEycnTjo-KT000vfUnhSA2vfVhVPe1QBwCTNTBJ5B_1Ocel6nY,MIRAMAR,1083,421914.3,276550.0,408728.8,293670.3
2U4GBNA0YmnLSqvEycnTjo-KT000vfUnhSA2vfVhVPe1QBwCTNTBJ5B_1Ocel6nY,MIRAMAR,368,470438.2,363857.9,467847.4,363854.5
2U4GBNA0Yml3HEnAb5HSfMbBgZnnKeFS1Nyxgm5XowlAkEtb1WUYEdfEOe_bXvR0,MIRAMAR,234,400426.8,280825.2,345627.3,289896.6
2U4GBNA0Yml3HEnAb5HSfMbBgZnnKeFS1Nyxgm5XowlAkEtb1WUYEdfEOe_bXvR0,MIRAMAR,148,161887.5,747933.5,0.0,0.0
2U4GBNA0Yml3HEnAb5HSfMbBgZnnKeFS1Nyxgm5XowlAkEtb1WUYEdfEOe_bXvR0,MIRAMAR,235,393598.3,289132.6,346469.4,273841.8
2U4GBNA0Yml3HEnAb5HSfMbBgZnnKeFS1Nyxgm5XowlAkEtb1WUYEdfEOe_bXvR0,MIRAMAR,467,439798.3,277661.3,440535.9,361644.9
2U4GBNA0Yml3HEnAb5HSfMbBgZnnKeFS1Nyxgm5XowlAkEtb1WUYEdfEOe_bXvR0,MIRAMAR,1150,371308.4,345270.2,441172.0,277942.2
2U4GBNA0Yml3HEnAb5HSfMbBgZnnKeFS1Nyxgm5XowlAkEtb1WUYEdfEOe_bXvR0,MIRAMAR,1144,369773.2,345845.1,441009.8,279617.3
2U4GBNA0Yml3HEnAb5HSfMbBgZnnKeFS1Nyxgm5XowlAkEtb1WUYEdfEOe_bXvR0,MIRAMAR,1104,359157.2,347636.5,383750.6,443534.8
2U4GBNA0Yml3HEnAb5HSfMbBgZnnKeFS1Nyxgm5XowlAkEtb1WUYEdfEOe_bXvR0,MIRAMAR,178,437877.2,280759.4,438569.2,280818.5
2U4GBNA0Yml3HEnAb5HSfMbBgZnnKeFS1Nyxgm5XowlAkEtb1WUYEdfEOe_bXvR0,MIRAMAR,209,435974.8,276332.6,436138.7,276787.3
2U4GBNA0Yml3HEnAb5HSfMbBgZnnKeFS1Nyxgm5XowlAkEtb1WUYEdfEOe_bXvR0,MIRAMAR,84,436131.1,280898.6,435692.5,280670.9
2U4GBNA0Yml3HEnAb5HSfMbBgZnnKeFS1Nyxgm5XowlAkEtb1WUYEdfEOe_bXvR0,MIRAMAR,208,434142.2,199237.8,433197.5,197663.3
2U4GBNA0Yml3HEnAb5HSfMbBgZnnKeFS1Nyxgm5XowlAkEtb1WUYEdfEOe_bXvR0,MIRAMAR,1135,367390.2,347038.8,427673.1,352543.6
2U4GBNA0Yml3HEnAb5HSfMbBgZnnKeFS1Nyxgm5XowlAkEtb1WUYEdfEOe_bXvR0,MIRAMAR,133,432922.6,196700.3,429166.3,178235.0
